step_time,radius,diffusion_coef,tx_count,tx_centers,molecule_counts,rx_center,from,"first_rotations(x,y,z)","second_rotations(x,y,z)"
9.999999974752427e-07,5,79.4000015258789,2,"[[-10.654570776467919, 1.9120885841288409, -7.907015537908218], [-9.98953681908567, -1.1138862085590848, 7.595760028581584]]","[10000, 10000]","[0, 0, 0]","[549, 1897]","[269.8838806152344, 143.8535614013672, 349.8258972167969]","[304.29180908203125, 217.07791137695312, 6.362500190734863]"
9.999999974752427e-07,5,79.4000015258789,2,"[[1.135281780881137, -1.5676321936865691, 14.776482286496423], [7.277346728304677, -11.81520156081834, 0.639516254273781]]","[10000, 10000]","[0, 0, 0]","[1380, 234]","[249.1793670654297, 262.53741455078125, 125.91211700439453]","[118.68791961669922, 182.638671875, 121.63019561767578]"
9.999999974752427e-07,5,79.4000015258789,2,"[[-3.5984244184979706, 3.0990782890192503, -13.066866754975791], [2.759838338683094, -0.36825930812831087, 8.913621138038442]]","[10000, 10000]","[0, 0, 0]","[1001, 1316]","[52.93446731567383, 70.02693939208984, 139.263916015625]","[32.254615783691406, 287.3469543457031, 352.3996276855469]"
9.999999974752427e-07,5,79.4000015258789,2,"[[-7.0459999065548455, 7.100825240159161, 1.0454249738963726], [2.4108117758013496, -1.4059128993406145, 6.407578410005231]]","[10000, 10000]","[0, 0, 0]","[119, 3005]","[221.577392578125, 185.96615600585938, 314.7779541015625]","[232.70497131347656, 293.5354309082031, 329.75054931640625]"
9.999999974752427e-07,5,79.4000015258789,2,"[[12.388222236849213, -0.30114274950652314, 5.062492369776456], [3.072189374209701, 5.71337485303769, 9.712022713896355]]","[10000, 10000]","[0, 0, 0]","[2314, 1010]","[61.365360260009766, 202.2216339111328, 178.60748291015625]","[93.87767791748047, 303.74029541015625, 61.732242584228516]"
9.999999974752427e-07,5,79.4000015258789,2,"[[6.703754094877722, -0.4005779406601872, -0.5654599875499063], [7.848972635868418, -2.1064890577951956, 0.07115894790041749]]","[10000, 10000]","[0, 0, 0]","[1707, 1728]","[13.023069381713867, 175.18707275390625, 176.5803985595703]","[127.42595672607422, 180.50167846679688, 164.9770965576172]"
9.999999974752427e-07,5,79.4000015258789,2,"[[8.929540755647157, -0.061812056887708446, 8.988305721112761], [10.095351449931618, -3.711218677322782, -3.245546749378407]]","[10000, 10000]","[0, 0, 0]","[1407, 1957]","[229.61727905273438, 314.8127746582031, 359.6033935546875]","[14.811609268188477, 16.790971755981445, 339.81573486328125]"
9.999999974752427e-07,5,79.4000015258789,2,"[[5.622320749560235, -13.096671498870469, -3.7226100723516207], [5.585884931257742, -0.23804718617894202, 1.9195774221274242]]","[10000, 10000]","[0, 0, 0]","[1179, 675]","[112.08378601074219, 165.36192321777344, 113.23355102539062]","[90.63017272949219, 198.94920349121094, 177.5597686767578]"
9.999999974752427e-07,5,79.4000015258789,2,"[[-4.288745063050117, -2.322591228324748, -10.57707920783421], [-0.43239166988221084, 8.278111138542174, -4.86758929809343]]","[10000, 10000]","[0, 0, 0]","[1655, 2244]","[128.53433227539062, 114.7552261352539, 28.43798065185547]","[11.80976676940918, 30.421743392944336, 92.99002075195312]"
9.999999974752427e-07,5,79.4000015258789,2,"[[2.5098639609425524, -4.083910237560715, -3.906232884434383], [-2.8684164168230275, -10.697554272610047, 1.756457982542486]]","[10000, 10000]","[0, 0, 0]","[3047, 3316]","[124.35120391845703, 39.17660140991211, 301.57379150390625]","[285.530517578125, 350.9884948730469, 254.98992919921875]"
9.999999974752427e-07,5,79.4000015258789,2,"[[6.114158298290508, 1.823696962402396, 4.81452897998145], [0.9157682606419939, -2.5749005811297936, -5.256584329561112]]","[10000, 10000]","[0, 0, 0]","[1696, 2725]","[99.55184173583984, 322.9622497558594, 16.608495712280273]","[198.99314880371094, 117.46994018554688, 109.5780258178711]"
9.999999974752427e-07,5,79.4000015258789,2,"[[9.053518601991946, -1.0845683513254358, 2.0286938617796064], [-6.03604849656787, -4.674369220950553, -10.700287178748875]]","[10000, 10000]","[0, 0, 0]","[2696, 3302]","[93.86019134521484, 192.54327392578125, 173.16879272460938]","[261.78082275390625, 54.4931526184082, 217.7545166015625]"
9.999999974752427e-07,5,79.4000015258789,2,"[[1.6434250865323954, -2.70942922495008, -5.7368490372395184], [-7.939198589260235, 4.196533443791484, 7.721474685004661]]","[10000, 10000]","[0, 0, 0]","[1638, 2789]","[243.41831970214844, 61.08486557006836, 301.2392272949219]","[281.06939697265625, 319.3095703125, 152.13978576660156]"
9.999999974752427e-07,5,79.4000015258789,2,"[[13.035785142235554, 2.8605957757008342, -1.4723221895967606], [-0.42011785068588814, -2.1929062331080913, 13.741794084365875]]","[10000, 10000]","[0, 0, 0]","[378, 2426]","[162.2276611328125, 173.70460510253906, 192.3769073486328]","[252.93971252441406, 279.2288513183594, 259.1546630859375]"
9.999999974752427e-07,5,79.4000015258789,2,"[[-7.962429249055232, -6.244456359296619, 5.691338697027001], [2.81746025704429, -8.180301226748895, -3.780297376727904]]","[10000, 10000]","[0, 0, 0]","[3199, 1578]","[254.44467163085938, 330.6447448730469, 218.10496520996094]","[189.1343231201172, 156.39791870117188, 109.0047378540039]"
